id_gestion,gestion,tipo_gestion,siacop_id_gestion
1,2015,REGULAR,54
2,2015 INVESTIGACION,INVESTIGACION,57
3,2016,REGULAR,68
4,2016 INVESTIGACION,INVESTIGACION,71
5,2017,REGULAR,79
6,2017 INVESTIGACION,INVESTIGACION,83
7,2018,REGULAR,92
8,2018 INVESTIGACIÓN,INVESTIGACION,97
9,2019,REGULAR,131
10,2019 INVESTIGACIÓN,INVESTIGACION,135
11,2019-VERANO,VERANO,154
12,2020,REGULAR,156
13,2020 INVESTIGACIÓN,INVESTIGACION,160
14,2021,REGULAR,169
15,2021 INVESTIGACIÓN,INVESTIGACION,174
16,2022,REGULAR,184
17,2022 INVESTIGACIÓN,INVESTIGACION,190
